,workclass
828, Private
829, Self-emp-inc
830, ?
831, Private
832, Private
833, Self-emp-not-inc
834, ?
835, Private
836, Private
837, Private
838, Private
839, Private
840, Private
841, Private
842, Private
843, Local-gov
844, Private
845, Private
846, Local-gov
847, Private
848, Private
849, Private
850, Private
851, Private
852, Self-emp-not-inc
853, Private
854, State-gov
855, Private
856, Local-gov
857, Private
858, Private
859, Private
860, Private
861, Private
862, Private
863, Self-emp-inc
864, Private
865, Private
866, Private
867, Private
868, Private
869, Self-emp-not-inc
870, Private
871, Private
872, Self-emp-not-inc
873, Self-emp-not-inc
874, Private
875, Private
876, Private
877, Private
878, Private
879, Private
880, Private
881, Private
882, Private
883, Private
884, Private
885, ?
886, Private
887, Self-emp-inc
888, Self-emp-not-inc
889, Private
890, ?
891, Self-emp-not-inc
892, Private
893, Private
894, Self-emp-not-inc
895, Private
896, Private
897, Private
898, Private
899, Private
900, Local-gov
901, Self-emp-not-inc
902, Private
903, ?
904, Private
905, Private
906, Private
907, Private
908, Self-emp-not-inc
909, Private
910, Private
911, Private
912, Self-emp-not-inc
913, Private
914, Private
915, Private
916, Private
917, Self-emp-inc
918, Self-emp-not-inc
919, Private
920, Private
921, Private
922, Private
923, Private
924, ?
925, Private
926, Private
927, Private
928, Private
929, Private
930, Private
931, ?
932, Local-gov
933, Private
934, Private
935, Private
936, Private
937, Private
938, Private
939, Private
940, Private
941, Private
942, Self-emp-inc
943, Private
944, Private
945, Local-gov
946, Private
947, Self-emp-inc
948, Private
949, Self-emp-not-inc
950, State-gov
951, Private
952, Private
953, Private
954, Private
955, Private
956, Self-emp-inc
957, Local-gov
958, Self-emp-not-inc
959, Private
960, Private
961, Private
962, Private
963, Private
964, Private
965, Private
966, Self-emp-inc
967, Self-emp-not-inc
968, Private
969, ?
970, Private
971, Private
972, Private
973, Private
974, Private
975, Private
976, Private
977, State-gov
978, Private
979, Private
980, Private
981, Private
982, ?
983, Self-emp-not-inc
984, Local-gov
985, Private
986, Private
987, Private
988, Private
989, Private
990, Private
991, Private
992, Self-emp-not-inc
993, Private
994, Private
995, Private
996, Private
997, Federal-gov
998, Private
999, Self-emp-inc
1000, Private
1001, Private
1002, State-gov
1003, Local-gov
1004, Private
1005, Private
1006, Private
1007, Self-emp-inc
1008, Self-emp-not-inc
1009, Private
1010, Private
1011, Private
1012, Private
1013, Private
1014, Private
1015, Private
1016, Private
1017, Private
1018, Private
1019, ?
1020, Private
1021, Local-gov
1022, Private
1023, Private
1024, Private
1025, Private
1026, Private
1027, Private
1028, Private
1029, Self-emp-inc
1030, Private
1031, State-gov
1032, Private
1033, Private
1034, ?
1035, ?
1036, Self-emp-inc
1037, Private
1038, Private
1039, ?
1040, Private
1041, Private
1042, Private
1043, Private
1044, Private
1045, Private
1046, ?
1047, Private
1048, Private
1049, Private
1050, Private
1051, Self-emp-not-inc
1052, Private
1053, Self-emp-not-inc
1054, Private
1055, Private
1056, Self-emp-not-inc
1057, Private
1058, Local-gov
1059, Private
1060, Self-emp-not-inc
1061, Private
1062, Private
1063, Private
1064, Private
1065, Private
1066, Private
1067, Private
1068, Private
1069, Private
1070, Local-gov
1071, Private
1072, Private
1073, State-gov
1074, Private
1075, Self-emp-not-inc
1076, Private
1077, Private
1078, Private
1079, State-gov
1080, Private
1081, Local-gov
1082, Self-emp-not-inc
1083, Local-gov
1084, Private
1085, Private
1086, Private
1087, Private
1088, Private
1089, Private
1090, Federal-gov
1091, Self-emp-not-inc
1092, Private
1093, Private
1094, Private
1095, Self-emp-not-inc
1096, Private
1097, ?
1098, Self-emp-inc
1099, Private
1100, ?
1101, Self-emp-inc
1102, Self-emp-inc
1103, Private
1104, Self-emp-not-inc
1105, Local-gov
1106, Private
1107, Private
1108, Private
1109, Private
1110, Self-emp-inc
1111, Private
1112, State-gov
1113, Private
1114, Private
1115, Self-emp-inc
1116, Private
1117, Private
1118, Local-gov
1119, Private
1120, Private
1121, Federal-gov
1122, State-gov
1123, Private
1124, Private
1125, Private
1126, Private
1127, Federal-gov
1128, Self-emp-not-inc
1129, Private
1130, Private
1131, ?
1132, Private
1133, Private
1134, ?
1135, Private
1136, Self-emp-not-inc
1137, Federal-gov
1138, Private
1139, Private
1140, Private
1141, Private
1142, Federal-gov
1143, Private
1144, Self-emp-not-inc
1145, Private
1146, Self-emp-inc
1147, Private
1148, Self-emp-inc
1149, Self-emp-inc
1150, Private
1151, Private
1152, ?
1153, Private
1154, State-gov
1155, Private
1156, Private
1157, State-gov
1158, Private
1159, Private
1160, Private
1161, Private
1162, Private
1163, Private
1164, Private
1165, Private
1166, Private
1167, ?
1168, Self-emp-not-inc
1169, Private
1170, Private
1171, Private
1172, Private
1173, Private
1174, Private
1175, ?
1176, Private
1177, State-gov
1178, Private
1179, Local-gov
1180, ?
1181, Private
1182, Private
1183, Private
1184, Private
1185, ?
1186, Federal-gov
1187, Private
1188, State-gov
1189, Local-gov
1190, Private
1191, Private
1192, Private
1193, Private
1194, Private
1195, Local-gov
1196, Local-gov
1197, Private
1198, Private
1199, Private
1200, Federal-gov
1201, Local-gov
1202, Private
1203, Private
1204, Private
1205, Self-emp-inc
1206, Local-gov
1207, Private
1208, ?
1209, Private
1210, Self-emp-inc
1211, Private
1212, Private
1213, Private
1214, Private
1215, ?
1216, Self-emp-not-inc
1217, ?
1218, Private
1219, Private
1220, Self-emp-not-inc
1221, Private
1222, Private
1223, Private
1224, Private
1225, Private
1226, Private
1227, Self-emp-not-inc
1228, Private
1229, Self-emp-not-inc
1230, Private
1231, Federal-gov
1232, Private
1233, Private
1234, Private
1235, Private
1236, Private
1237, Self-emp-not-inc
1238, Private
1239, Private
1240, Private
1241, Private
1242, State-gov
1243, Self-emp-not-inc
1244, Local-gov
1245, Private
1246, Self-emp-inc
1247, Private
1248, Private
1249, Private
1250, Self-emp-inc
1251, Self-emp-not-inc
1252, Private
1253, Federal-gov
1254, Self-emp-not-inc
1255, Private
1256, Private
1257, Private
1258, Federal-gov
1259, State-gov
1260, Private
1261, Private
1262, ?
1263, Private
1264, Self-emp-inc
1265, Private
1266, Private
1267, Self-emp-not-inc
1268, Private
1269, Local-gov
1270, Private
1271, Private
1272, Private
1273, Private
1274, Private
1275, Local-gov
1276, Private
1277, Private
1278, Private
1279, Private
1280, Private
1281, Federal-gov
1282, ?
1283, Private
1284, Private
1285, Private
1286, Self-emp-not-inc
1287, Private
1288, Private
1289, Private
1290, ?
1291, Self-emp-not-inc
1292, Private
1293, Private
1294, Private
1295, Private
1296, Private
1297, Private
1298, Local-gov
1299, Private
1300, Federal-gov
1301, Private
1302, Self-emp-inc
1303, Self-emp-not-inc
1304, Private
1305, Private
1306, Private
1307, Private
1308, Private
1309, Private
1310, Federal-gov
1311, Private
1312, ?
1313, Private
1314, Private
1315, Private
1316, Private
1317, ?
1318, State-gov
1319, Private
1320, Local-gov
1321, Private
1322, Private
1323, Private
1324, Private
1325, ?
1326, Private
1327, Private
1328, Private
1329, Private
1330, Private
1331, Private
1332, Private
1333, Private
1334, Private
1335, Private
1336, Private
1337, Private
1338, Private
1339, State-gov
1340, State-gov
1341, Private
1342, Private
1343, State-gov
1344, Private
1345, Private
1346, Self-emp-inc
1347, ?
1348, Private
1349, ?
1350, Private
1351, Self-emp-inc
1352, Private
1353, Private
1354, Private
1355, Self-emp-not-inc
1356, Private
1357, Private
1358, Private
1359, Private
1360, Private
1361, Private
1362, Private
1363, Private
1364, Federal-gov
1365, Self-emp-inc
1366, Private
1367, Federal-gov
1368, Private
1369, Private
1370, Private
1371, ?
1372, Private
1373, Self-emp-inc
1374, Local-gov
1375, Private
1376, Self-emp-not-inc
1377, Private
1378, Private
1379, Private
1380, Private
1381, Private
1382, Local-gov
1383, Private
1384, Self-emp-not-inc
1385, Private
1386, Private
1387, Self-emp-not-inc
1388, ?
1389, Private
1390, Private
1391, Local-gov
1392, Private
1393, Federal-gov
1394, Private
1395, Private
1396, Private
1397, Self-emp-not-inc
1398, Private
1399, Private
1400, Private
1401, Private
1402, Private
1403, Private
1404, ?
1405, Private
1406, Private
1407, Local-gov
1408, Private
1409, Private
1410, Private
1411, Self-emp-inc
1412, Private
1413, Private
1414, Self-emp-not-inc
1415, State-gov
1416, Private
1417, Private
1418, Private
1419, Private
1420, ?
1421, Private
1422, Private
1423, Private
1424, Federal-gov
1425, Private
1426, Self-emp-inc
1427, Private
1428, Private
1429, Private
1430, Private
1431, Private
1432, Private
1433, ?
1434, State-gov
1435, Self-emp-inc
1436, Private
1437, Federal-gov
1438, Self-emp-not-inc
1439, Private
1440, Self-emp-inc
1441, ?
1442, Private
1443, Private
1444, Self-emp-not-inc
1445, Private
1446, Self-emp-not-inc
1447, Self-emp-not-inc
1448, Private
1449, Self-emp-inc
1450, Private
1451, Private
1452, ?
1453, Self-emp-inc
1454, Private
1455, Private
1456, Private
1457, Private
1458, ?
1459, Self-emp-inc
1460, Self-emp-inc
1461, Private
1462, Private
1463, Private
1464, Private
1465, Federal-gov
1466, Private
1467, Private
1468, Private
1469, Private
1470, Private
1471, Private
1472, Local-gov
1473, State-gov
1474, Private
1475, Private
1476, Private
1477, Private
1478, Private
1479, Self-emp-not-inc
1480, Self-emp-not-inc
1481, Private
1482, Self-emp-inc
1483, Private
1484, Local-gov
1485, Private
1486, Private
1487, Private
1488, Federal-gov
1489, Private
1490, Private
1491, Private
1492, Private
1493, State-gov
1494, Private
1495, Self-emp-inc
1496, Private
1497, Private
1498, Self-emp-not-inc
1499, Private
1500, Self-emp-inc
1501, Private
1502, Private
1503, Self-emp-inc
1504, ?
1505, Private
1506, State-gov
1507, Private
1508, Private
1509, State-gov
1510, Private
1511, Self-emp-not-inc
1512, Self-emp-inc
1513, Self-emp-not-inc
1514, Self-emp-inc
1515, Private
1516, Private
1517, Private
1518, Private
1519, Local-gov
1520, Local-gov
1521, State-gov
1522, Private
1523, Private
1524, Local-gov
1525, Private
1526, Private
1527, Private
1528, Private
1529, Private
1530, Private
1531, Private
1532, Private
1533, Private
1534, Private
1535, Private
1536, Private
1537, Private
1538, Private
1539, Private
1540, State-gov
1541, Private
1542, Local-gov
1543, Local-gov
1544, ?
1545, Private
1546, Private
1547, Private
1548, Private
1549, Private
1550, Private
1551, Private
1552, Private
1553, Private
1554, Private
1555, Private
1556, Private
1557, Self-emp-not-inc
1558, Private
1559, Private
1560, Private
1561, Private
1562, ?
1563, Private
1564, Federal-gov
1565, Private
1566, Private
1567, Private
1568, Local-gov
1569, ?
1570, ?
1571, Private
1572, Private
1573, Private
1574, ?
1575, Private
1576, Self-emp-not-inc
1577, State-gov
1578, Local-gov
1579, ?
1580, Private
1581, Private
1582, Private
1583, Private
1584, Self-emp-not-inc
1585, Private
1586, Private
1587, Self-emp-not-inc
1588, Private
1589, Private
1590, Private
1591, Local-gov
1592, ?
1593, Private
1594, Self-emp-not-inc
1595, Private
1596, Local-gov
1597, Private
1598, Private
1599, Private
1600, Private
1601, State-gov
1602, State-gov
1603, Private
1604, State-gov
1605, Private
1606, ?
1607, Private
1608, Private
1609, Private
1610, Self-emp-not-inc
1611, Private
1612, Private
1613, Private
1614, Private
1615, Private
1616, Private
1617, Private
1618, Private
1619, Local-gov
1620, Self-emp-not-inc
1621, Self-emp-not-inc
1622, Private
1623, Private
1624, Private
1625, Self-emp-not-inc
1626, Private
1627, Private
1628, Private
1629, ?
1630, Private
1631, Local-gov
1632, State-gov
1633, Private
1634, Private
1635, Private
1636, Private
1637, Private
1638, Self-emp-inc
1639, Private
1640, Private
1641, Private
1642, Private
1643, State-gov
1644, Self-emp-not-inc
1645, Self-emp-inc
1646, Private
1647, Private
1648, Private
1649, Private
1650, Private
1651, Self-emp-not-inc
1652, Self-emp-not-inc
1653, Local-gov
1654, Private
1655, Private
1656, ?
1657, Private
1658, Private
1659, Self-emp-not-inc
1660, Local-gov
1661, Private
1662, Private
1663, Private
1664, Private
1665, ?
1666, Self-emp-inc
1667, Private
1668, Private
1669, Private
1670, Private
1671, Private
1672, Private
1673, Private
1674, Private
1675, Private
1676, ?
1677, Private
1678, Federal-gov
1679, Private
1680, Private
1681, Private
1682, Private
1683, Private
1684, Self-emp-not-inc
1685, Private
1686, Private
1687, Private
1688, Private
1689, Private
1690, Private
1691, Private
1692, Private
1693, State-gov
1694, Private
1695, Private
1696, Private
1697, Private
1698, Private
1699, Private
1700, Private
1701, Private
1702, Private
1703, Private
1704, ?
1705, Private
1706, Private
1707, ?
1708, Private
1709, Private
1710, Private
1711, Federal-gov
1712, Private
1713, Private
1714, Private
1715, Private
1716, Private
1717, Private
1718, Private
1719, Private
1720, Private
1721, Local-gov
1722, Private
1723, Local-gov
1724, Private
1725, Private
1726, Private
1727, Private
1728, Private
1729, Private
1730, Private
1731, Private
1732, Private
1733, Private
1734, Private
1735, Self-emp-not-inc
1736, Private
1737, Private
1738, Private
1739, Local-gov
1740, Private
1741, Private
1742, Private
1743, Private
1744, Self-emp-not-inc
1745, Private
1746, Private
1747, Private
1748, Private
1749, Private
1750, Private
1751, Private
1752, Private
1753, Private
1754, Self-emp-not-inc
1755, Private
1756, Self-emp-not-inc
1757, Self-emp-not-inc
1758, ?
1759, Private
1760, Private
1761, ?
1762, Private
1763, Private
1764, Private
1765, Private
1766, Private
1767, Private
1768, Private
1769, Private
1770, Private
1771, Private
1772, Private
1773, ?
1774, Private
1775, Private
1776, Private
1777, Local-gov
1778, ?
1779, Private
1780, Private
1781, Private
1782, Private
1783, Private
1784, Private
1785, Local-gov
1786, Local-gov
1787, Private
1788, Private
1789, Private
1790, Federal-gov
1791, Private
1792, Private
1793, Private
1794, Private
1795, Private
1796, Private
1797, Private
1798, Federal-gov
1799, Private
1800, Private
1801, Private
1802, Private
1803, Self-emp-inc
1804, Private
1805, State-gov
1806, Private
1807, Private
1808, Local-gov
1809, Self-emp-inc
1810, Private
1811, Private
1812, Private
1813, Private
1814, Private
1815, Private
1816, Local-gov
1817, Private
1818, Private
1819, State-gov
1820, Private
1821, Private
1822, Private
1823, ?
1824, Private
1825, Private
1826, Self-emp-not-inc
1827, Local-gov
1828, Private
1829, Private
1830, State-gov
1831, Private
1832, Local-gov
1833, State-gov
1834, Private
1835, Private
1836, Private
1837, Private
1838, Private
1839, Private
1840, Private
1841, Local-gov
1842, Private
1843, Private
1844, Private
1845, Federal-gov
1846, ?
1847, Private
1848, Private
1849, Self-emp-inc
1850, Private
1851, ?
1852, Private
1853, Private
1854, Self-emp-not-inc
1855, Local-gov
1856, State-gov
1857, Private
1858, Private
1859, Local-gov
1860, Private
1861, Private
1862, Local-gov
1863, Private
1864, Local-gov
1865, ?
1866, Private
1867, Federal-gov
1868, Private
1869, Self-emp-not-inc
1870, Private
1871, Private
1872, Private
1873, State-gov
1874, Private
1875, Private
1876, Private
1877, Self-emp-not-inc
1878, ?
1879, Private
1880, Private
1881, Private
1882, Self-emp-not-inc
1883, Federal-gov
1884, Local-gov
1885, Private
1886, Private
1887, Self-emp-not-inc
1888, Self-emp-not-inc
1889, Private
1890, Self-emp-not-inc
1891, Private
1892, Private
1893, Private
1894, Private
1895, Local-gov
1896, Private
1897, Private
1898, Private
1899, Private
1900, Private
1901, Without-pay
1902, Private
1903, Private
1904, Private
1905, Private
1906, Local-gov
1907, Self-emp-not-inc
1908, Private
1909, Private
1910, Private
1911, Private
1912, Self-emp-inc
1913, Private
1914, Self-emp-not-inc
1915, Local-gov
1916, Private
1917, Local-gov
1918, Local-gov
1919, Private
1920, Private
1921, Private
1922, Private
1923, ?
1924, Private
1925, Private
1926, Private
1927, Private
1928, Private
1929, Private
1930, Private
1931, ?
1932, Private
1933, Private
1934, Private
1935, Private
1936, Local-gov
1937, Private
1938, State-gov
1939, Local-gov
1940, Private
1941, Private
1942, Local-gov
1943, Private
1944, Local-gov
1945, Private
1946, Private
1947, State-gov
1948, State-gov
1949, Private
1950, Self-emp-not-inc
1951, Local-gov
1952, Private
1953, Private
1954, Private
1955, Private
1956, Private
1957, Private
1958, Private
1959, Private
1960, Private
1961, Local-gov
1962, Private
1963, Private
1964, Private
1965, Private
1966, Private
1967, Private
1968, Private
1969, Self-emp-not-inc
1970, Private
1971, ?
1972, Private
1973, Private
1974, Private
1975, Private
1976, Private
1977, Private
1978, Self-emp-not-inc
1979, Local-gov
1980, Local-gov
1981, Federal-gov
1982, Private
1983, Private
1984, Self-emp-inc
1985, Private
1986, Self-emp-inc
1987, ?
1988, Private
1989, Private
1990, Private
1991, Private
1992, Private
1993, Private
1994, Private
1995, Private
1996, Private
1997, Self-emp-not-inc
1998, Private
1999, State-gov
2000, Private
2001, Private
2002, Self-emp-not-inc
2003, Private
2004, Private
2005, Private
2006, Private
2007, Private
2008, Private
2009, Private
2010, Private
2011, Private
2012, Private
2013, Local-gov
2014, Private
2015, Private
2016, Private
2017, Federal-gov
2018, Private
2019, Private
2020, Local-gov
2021, Private
2022, Private
2023, Private
2024, Private
2025, ?
2026, Private
2027, Private
2028, Federal-gov
2029, State-gov
2030, Private
2031, Self-emp-not-inc
2032, Private
2033, Private
2034, Private
2035, Private
2036, ?
2037, Private
2038, State-gov
2039, Private
2040, Private
2041, Private
2042, Private
2043, Self-emp-not-inc
2044, Private
2045, Self-emp-not-inc
2046, ?
2047, Private
2048, Private
2049, Private
2050, Private
2051, Private
2052, Private
2053, Private
2054, Private
2055, Local-gov
2056, State-gov
2057, Private
2058, Private
2059, Private
2060, Private
2061, ?
2062, Private
2063, Local-gov
2064, Private
2065, Private
2066, Private
2067, Private
2068, Private
2069, Private
2070, Private
2071, Private
2072, ?
2073, Local-gov
2074, Local-gov
2075, Federal-gov
